text,label
What is RAG?,concept_explanation
Explain retrieval augmented generation simply.,concept_explanation
What is an embedding in NLP?,concept_explanation
Explain embeddings with an example.,concept_explanation
What is a vector store?,concept_explanation
What is a retriever in LangChain?,concept_explanation
What is semantic search?,concept_explanation
What is the difference between keyword search and semantic search?,concept_explanation
What is chunking in RAG?,concept_explanation
Why do we split documents before embedding?,concept_explanation
What does chunk overlap mean?,concept_explanation
What is LCEL in LangChain?,concept_explanation
Explain RunnablePassthrough simply.,concept_explanation
What is ChatPromptTemplate?,concept_explanation
What is MessagesPlaceholder?,concept_explanation
What is chat history in a chatbot?,concept_explanation
What is the difference between HumanMessage and AIMessage?,concept_explanation
What is SystemMessage used for?,concept_explanation
What is a Transformer?,concept_explanation
Explain self-attention simply.,concept_explanation
What are query key and value in attention?,concept_explanation
What is multi-head attention?,concept_explanation
What is positional encoding?,concept_explanation
What is masked self-attention?,concept_explanation
What is the difference between BERT and GPT?,concept_explanation
Why is BERT not usually used for text generation?,concept_explanation
What is DistilBERT?,concept_explanation
What is fine-tuning?,concept_explanation
What is transfer learning?,concept_explanation
What is LoRA?,concept_explanation
What is PEFT?,concept_explanation
What is the difference between RAG and fine-tuning?,concept_explanation
What is a context window?,concept_explanation
Why do we trim chat history?,concept_explanation
What is cosine similarity?,concept_explanation
What is top-k retrieval?,concept_explanation
What is Chroma database?,concept_explanation
What is FAISS?,concept_explanation
What is a document loader?,concept_explanation
What is metadata in LangChain documents?,concept_explanation
How does a RAG chatbot answer questions?,concept_explanation
Explain vector embeddings in simple words.,concept_explanation
What is the role of the LLM in RAG?,concept_explanation
What is the role of the embedding model in RAG?,concept_explanation
How does the retriever find relevant chunks?,concept_explanation
What is a history-aware retriever?,concept_explanation
What is the difference between static and contextual embeddings?,concept_explanation
What is Word2Vec?,concept_explanation
What is GloVe?,concept_explanation
What is FastText?,concept_explanation
Why am I getting ModuleNotFoundError?,code_help
ModuleNotFoundError: No module named langchain.chains,code_help
My Streamlit app is showing an import error.,code_help
Why cannot I import load_text_documents from src.ingestion?,code_help
NameError: name file_path is not defined,code_help
TypeError expected string or bytes-like object,code_help
Chroma got an unexpected keyword argument persist_dictionary,code_help
Why is my vectorstore not rebuilding?,code_help
How do I fix missing GROQ_API_KEY?,code_help
Why is my .env file not loading?,code_help
